instance,num_nodes,strategy,best,avg,worst,std,improvement_vs_baseline_%,greedy_reference,budget,evaluations_per_run
2obj_0125_03,125,baseline,804.3859,788.8549,631.0589,47.2383,0.00,,10000,10000
2obj_0125_03,125,cost,896.4537,893.2327,815.9296,15.7794,13.23,784.94,10000,10000
2obj_0125_03,125,degree,861.7372,828.0778,686.7920,60.4343,4.97,346.59,10000,10000
2obj_0125_03,125,dijkstra,777.6649,766.6902,720.5612,22.0398,-2.81,394.70,10000,10000
2obj_0125_03,125,hybrid,896.4537,894.2881,842.3152,10.6089,13.37,704.81,10000,10000
2obj_0125_06,125,baseline,793.0393,786.3054,664.3292,26.0798,0.00,,10000,10000
2obj_0125_06,125,cost,776.6680,775.7982,754.9219,4.2613,-1.34,724.49,10000,10000
2obj_0125_06,125,degree,752.9868,749.4352,725.2722,8.9297,-4.69,328.73,10000,10000
2obj_0125_06,125,dijkstra,752.7753,732.4304,520.6702,51.2196,-6.85,317.30,10000,10000
2obj_0125_06,125,hybrid,843.5957,836.1667,669.7829,34.0430,6.34,685.96,10000,10000
2obj_0125_22,125,baseline,798.9472,792.5215,638.3053,31.4792,0.00,,10000,10000
2obj_0125_22,125,cost,818.2323,817.7746,806.7879,2.2426,3.19,721.86,10000,10000
2obj_0125_22,125,degree,786.3011,784.1201,731.7745,10.6850,-1.06,473.46,10000,10000
2obj_0125_22,125,dijkstra,781.1034,778.1176,706.4582,14.6274,-1.82,343.91,10000,10000
2obj_0125_22,125,hybrid,837.1754,832.1868,772.9380,16.9256,5.00,698.95,10000,10000
2obj_0125_25,125,baseline,729.0140,725.6406,644.6795,16.5261,0.00,,10000,10000
2obj_0125_25,125,cost,774.5854,773.5191,747.9275,5.2239,6.60,720.41,10000,10000
2obj_0125_25,125,degree,718.5598,709.0395,615.0306,24.8923,-2.29,521.06,10000,10000
2obj_0125_25,125,dijkstra,746.4329,713.4402,546.4017,60.9698,-1.68,410.66,10000,10000
2obj_0125_25,125,hybrid,795.0086,789.7632,663.8750,25.6968,8.84,659.81,10000,10000
