generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,597.0608,383.1396,216.4536,850.5314,509.2188,269.3219,578.9590,410.1032,225.1211,610.3061,432.2412,225.1211,971.2203,524.0664,270.2095
2,693.8740,424.4282,262.2681,850.5314,652.2562,222.0477,639.4009,447.6690,239.5236,629.5547,465.1599,256.8629,971.2203,664.1077,217.9429
3,693.8740,469.4166,226.0209,861.8865,750.7223,349.4057,654.0081,495.1308,283.8324,629.5547,484.2462,280.1098,983.2986,816.9050,252.6948
4,693.8740,500.8593,297.5016,861.8865,808.1400,496.1019,654.0081,543.5549,344.5755,632.0504,526.3667,279.6928,983.2986,878.3571,372.6985
5,693.8740,512.8195,220.8480,925.6746,808.8585,338.0417,654.0081,497.3919,220.3072,632.0504,531.6590,306.1312,983.2986,895.7472,618.9018
6,693.8740,587.8585,296.7806,925.6746,846.2675,719.9836,654.0081,545.1653,321.7871,686.4073,557.8704,326.2510,983.2986,926.3593,670.9773
7,693.8740,651.1475,287.2350,925.6746,877.1236,735.8587,695.2842,563.0725,269.6373,686.4073,547.5900,167.2961,983.2986,922.5887,453.7648
8,693.8740,684.0145,594.1012,925.6746,904.5659,782.2762,695.2842,557.2711,176.7725,686.4073,549.0628,201.8326,983.2986,923.5245,624.9034
9,693.8740,689.8712,593.8030,925.6746,917.0533,792.7886,695.2842,611.0023,367.7479,686.4073,611.8678,337.4544,983.2986,938.9666,634.3497
10,693.8740,691.7556,593.8030,925.6746,921.6079,835.7843,695.2842,650.0555,355.6659,686.4073,669.3234,469.3918,983.2986,931.4207,742.3005
11,693.8740,680.3799,535.6074,925.6746,922.0261,843.0391,695.2842,660.6584,233.4090,686.4073,665.8722,511.3852,983.2986,948.9090,800.6294
12,693.8740,674.8115,544.1252,925.6746,922.6000,861.8865,695.2842,663.9075,350.5145,689.4638,678.9037,468.2547,983.2986,944.7121,819.2241
13,772.1566,681.7488,593.8030,925.6746,921.9337,797.8388,695.2842,675.9060,560.9374,700.4514,675.5648,597.7071,983.2986,926.1093,708.3835
14,772.1566,688.8344,540.6543,925.6746,922.8889,883.0516,695.2842,689.0198,560.9374,700.6357,673.3651,535.4534,983.2986,920.0833,690.3010
15,772.1566,696.3526,555.1378,925.6746,919.2784,840.5884,695.2842,689.8567,586.5069,749.0024,684.0224,603.2142,983.2986,913.4588,624.6435
16,772.1566,743.6507,593.8030,925.6746,925.4916,923.3864,695.2842,681.2152,560.9374,750.7514,677.5230,417.6844,983.2986,910.2057,677.2947
17,772.1566,754.9239,605.9226,925.6746,922.0187,858.3785,695.2842,679.4211,591.3602,750.7514,684.0720,498.9660,983.2986,924.3296,691.0204
18,772.1566,752.6409,620.5651,925.6746,920.9711,849.2375,695.2842,680.7628,560.9374,750.7514,695.2627,433.9695,983.2986,928.1503,747.0840
19,772.1566,759.1471,672.0855,925.6746,918.9679,834.5403,695.2842,689.4472,613.9840,750.7514,658.5573,331.5213,983.2986,944.1487,672.4075
20,772.1566,764.4553,620.5651,925.6746,920.1383,836.4103,695.2842,692.5973,560.9374,750.7514,685.3784,455.6047,983.2986,943.8317,737.6468
21,772.1566,763.4078,620.5651,925.6746,921.9413,878.7087,695.2842,690.4390,613.9840,750.7514,680.7970,439.9654,983.2986,951.1778,685.9974
22,772.1566,765.0575,672.0855,925.8925,920.0626,813.2336,695.2842,685.3520,560.9374,750.7514,685.7846,417.5089,983.2986,938.6078,737.8233
23,772.1566,756.7147,672.0855,925.8925,924.3657,898.3589,695.2842,680.7194,560.9374,750.7514,686.8021,399.4333,983.2986,943.6070,726.2044
24,772.1566,764.5346,620.5651,934.6010,924.3300,887.8957,695.2842,677.0660,560.9374,750.7514,692.1845,440.3715,983.2986,947.8324,781.4771
25,772.1566,751.3893,618.9369,934.6010,922.7609,843.9536,695.2842,673.8268,592.9840,750.7514,695.1955,442.6179,983.2986,958.8809,850.6130
26,772.1566,757.7992,633.4204,934.6010,923.4889,827.0043,695.2842,672.8707,560.9374,750.7514,696.4969,486.6356,983.2986,958.2201,810.1024
27,781.7901,764.2329,666.5520,934.6010,927.2083,838.7472,695.2842,666.9523,560.9374,750.7514,698.4018,495.9534,983.2986,965.6323,848.5259
28,781.7901,756.5345,619.2699,934.6010,928.2451,834.9187,695.2842,677.9693,613.9840,750.7514,666.7787,317.3214,984.5819,954.5876,720.2504
29,781.7901,752.8533,648.5573,934.6010,927.7555,816.3091,695.2842,690.3843,612.8896,759.2144,675.9944,368.9738,984.5819,941.1118,771.9591
30,781.7901,732.0193,648.5573,934.6010,930.8105,873.0565,695.2842,688.7943,613.9840,759.2144,678.8560,477.2363,984.5819,944.5612,727.5204
31,781.7901,747.5784,619.2699,934.6010,931.2727,834.2598,695.2842,684.1577,560.9374,759.2144,704.0721,516.8608,984.5819,946.8315,800.6294
32,790.7165,767.5631,648.5573,934.6010,931.9752,907.2853,695.2842,686.8446,613.9840,759.2144,707.7425,536.2142,984.5819,956.0185,776.5600
33,808.4093,779.9533,681.7191,934.6010,932.5044,907.2853,695.2842,686.0679,559.2301,759.2144,722.8210,515.9049,984.5819,961.5249,835.2211
34,808.4093,757.4325,629.5137,934.6010,933.6428,907.2853,695.2842,690.2356,613.9840,759.2144,740.2513,554.6036,984.5819,971.2606,842.8567
35,808.4093,773.8562,649.0441,934.6010,931.8808,891.9780,695.2842,679.6994,584.4119,759.2144,739.6627,602.5417,984.5819,960.0124,829.8098
36,808.4093,791.3363,678.5701,934.6010,933.4597,907.2853,704.2106,679.5234,560.9374,759.2144,746.3341,605.6679,984.5819,964.9050,853.6561
37,808.4093,796.6138,673.5958,934.6010,932.2176,859.6013,704.2106,678.0726,584.4119,759.2144,754.7700,669.7985,984.5819,976.0774,839.6464
38,808.4093,794.7252,687.7805,934.6010,933.4140,907.2853,704.2106,690.7916,584.4119,759.2144,754.9463,669.7985,984.5819,974.7100,863.7720
