generation,baseline_best,baseline_avg,baseline_worst
1,462.3357,321.9682,183.6243
2,488.0418,358.7803,201.2276
3,488.0418,379.3162,203.9348
4,494.5738,396.0380,208.7094
5,505.8612,406.1983,247.7238
6,527.9191,416.4740,238.4504
7,532.7328,415.9232,283.7448
8,541.6231,428.8536,267.0328
9,541.6231,443.9161,321.4551
10,541.6231,448.5574,291.4197
11,582.5985,456.2290,286.6095
12,582.5985,457.5141,318.8943
13,582.5985,486.0856,347.9161
14,582.5985,489.0276,328.6501
15,582.5985,498.3171,330.1335
16,582.5985,508.0618,339.5112
17,582.5985,531.7558,332.3653
18,582.5985,545.0884,327.2343
19,582.5985,558.2054,430.9692
20,605.4756,565.8265,436.6011
21,605.4756,575.1507,484.1663
22,605.4756,576.9499,444.4537
23,605.4756,579.9211,492.1088
24,605.4756,581.2914,521.2730
25,605.4756,579.9405,486.1907
26,605.4756,578.6410,494.8807
27,605.4756,580.9388,476.5958
28,605.4756,583.5584,483.9777
29,605.4756,587.7317,491.9190
30,605.4756,592.7107,528.4961
31,605.4756,596.5101,484.5087
32,605.4756,598.9910,541.6041
33,605.4756,601.5954,494.8807
34,605.4756,598.9307,514.9859
35,605.4756,600.7954,499.7727
36,605.4756,597.3950,489.8622
37,605.4756,600.0665,485.4018
38,605.4756,602.7463,535.7038
39,605.4756,602.0936,545.7951
40,605.4756,603.0159,551.5603
41,610.1646,601.7972,516.6397
42,610.1646,599.9472,471.0882
43,610.1646,600.0479,514.9859
44,610.1646,604.6965,544.4956
45,610.1646,605.5529,516.6397
46,610.1646,607.3196,557.8136
47,610.1646,607.1221,536.1686
48,610.1646,603.0737,519.6749
49,610.1646,605.5475,504.4838
50,624.4063,605.7509,534.4035
51,624.4063,605.2729,525.0002
52,630.6225,606.2622,515.3311
53,630.6225,607.5713,517.2795
54,630.6225,608.4469,458.9738
55,630.6225,617.5500,507.6866
56,630.6225,620.3618,539.8591
57,630.6225,623.3155,484.6015
58,630.6225,621.9926,472.1016
59,630.6225,623.0661,434.0732
60,630.6225,627.9726,560.3170
61,630.6225,626.2781,517.2795
62,630.6225,626.5789,490.8754
63,630.6225,624.9353,432.3081
64,630.6225,623.7654,481.8345
65,630.6225,625.7102,559.5324
66,630.6225,628.8852,551.3785
67,630.6225,626.2505,460.7009
68,630.6225,625.1888,458.9738
69,630.6225,624.1695,470.6911
70,630.6225,628.0464,525.6209
71,630.6225,624.5527,424.9403
72,630.6225,627.5694,559.7032
73,630.6225,626.3226,476.9991
74,630.6225,627.9216,479.4222
75,630.6225,626.1863,464.0731
76,630.6225,627.2961,560.3170
77,630.6225,628.5651,574.4318
78,631.0408,627.8159,501.5568
79,631.0408,624.9409,504.4838
80,631.0408,627.0208,547.9119
81,631.0408,625.5384,560.7353
82,631.0408,626.9063,560.7353
83,631.0408,623.8326,476.0511
84,631.0408,620.1232,405.4775
85,631.0408,624.2922,510.9670
86,631.0408,628.6882,587.1394
87,631.0408,625.6522,444.9731
88,631.0408,623.0523,483.4189
89,631.0408,623.0151,489.8298
90,631.0408,624.7816,539.7116
91,631.0408,626.2611,488.8745
92,631.0408,626.9438,552.5429
93,631.0408,626.7828,503.1621
94,631.0408,624.4473,525.3600
95,631.0408,626.3875,499.0281
96,631.0408,627.8498,560.7353
97,631.0408,627.2891,477.4213
98,631.0408,628.0970,526.1509
99,631.0408,628.2976,545.8765
100,631.0408,626.3380,473.0459
