generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
1,449.8665,288.8243,144.8847,612.9261,363.1883,156.0565,579.4531,341.4835,156.0565,462.4167,299.5826,155.9551,622.0615,361.6624,156.0565
2,469.0092,313.1327,154.5132,612.9386,442.6378,172.5618,592.6209,386.5835,153.0927,481.7904,318.5897,155.3126,622.2417,429.8521,177.7958
3,495.8886,325.6435,156.0508,612.9510,496.9413,183.3541,600.0654,415.6247,167.5273,506.1464,330.0143,166.8667,623.9593,470.6223,158.5289
4,501.3025,337.4262,158.3479,612.9510,514.4900,232.7288,600.0654,436.9633,159.0092,507.5448,344.2073,157.8248,623.9593,488.6409,220.8884
5,507.8440,337.8596,149.0368,612.9510,523.2617,265.4625,602.3896,445.3563,199.4706,518.4663,354.4548,163.9480,623.9691,497.8008,237.8777
6,514.0698,341.5585,164.3700,612.9634,526.8585,248.5217,611.9032,442.5977,195.1130,524.7432,355.7082,183.2706,623.9691,499.6224,238.5750
7,517.8595,344.0503,161.4959,614.7400,529.0129,271.6857,613.2852,433.9216,177.3571,532.6612,360.8681,144.5432,623.9691,499.6959,247.0732
8,517.8595,343.9129,158.5001,614.7400,528.2459,269.4880,615.3681,428.2203,165.5296,534.4767,362.2756,164.5819,624.0235,495.5852,239.5239
9,518.2323,351.0446,153.6477,617.5831,534.1797,269.1435,616.9886,437.5295,173.0503,539.1769,369.9657,182.2817,627.7754,497.6564,220.1390
10,526.2168,360.0159,171.0045,618.5837,529.5384,245.6234,618.2511,441.3806,185.9469,549.4885,374.5472,175.4644,627.7754,502.1264,250.2386
11,533.2370,369.4280,167.3045,619.4739,537.1721,281.8801,618.2511,449.4474,210.9139,549.4885,380.6972,162.0296,627.7754,508.1238,218.7549
12,534.5761,377.1534,191.4187,620.7356,545.9761,280.7931,621.1744,461.9606,204.6973,559.1520,387.2456,182.8365,631.9225,511.7942,230.1708
13,535.9283,383.6327,170.7666,620.7356,552.2817,319.7840,621.1744,471.7508,203.3085,559.8657,398.0176,200.7410,635.5511,515.4019,266.4455
14,539.9681,397.2557,176.7587,620.7356,553.8678,330.0754,621.1744,483.0567,241.0972,561.6478,406.9215,200.8732,636.1423,525.9035,276.9305
15,548.8843,413.4001,207.7314,620.7356,560.0354,348.2876,622.0838,492.4720,237.1934,564.7999,412.2966,209.4191,637.0130,530.3626,267.6892
16,552.3986,425.9850,215.3034,620.7356,561.0981,342.7163,624.3803,500.0210,244.8613,568.8643,422.4543,215.6111,637.5612,538.9984,288.7872
17,561.4553,436.9295,234.0499,620.7356,558.7143,334.1288,625.4075,505.2250,281.8537,569.1291,432.2405,210.5714,637.5612,541.1823,320.7076
18,562.1819,444.9135,241.5979,622.8136,561.7367,356.8378,626.8854,515.2319,286.0101,569.1291,432.1071,194.8786,640.5990,541.2149,293.8223
19,566.0401,443.6382,222.6148,622.8680,568.3352,367.2797,628.1443,530.8618,284.7657,569.4068,438.6975,250.6884,640.5990,540.0743,314.9299
20,568.7194,451.2984,264.7723,622.9419,570.4563,355.6238,628.1443,539.6396,299.2453,570.7963,450.9530,251.1644,643.1183,540.3579,317.7127
21,574.3363,457.7797,281.2564,623.0140,570.3728,351.2801,628.1443,540.2688,308.5033,571.3445,455.1192,246.9092,645.4742,540.7730,301.8938
22,574.5886,457.9825,278.1892,623.4472,570.1621,343.3391,628.1443,542.7441,326.2579,571.3445,456.6641,232.2558,645.4742,543.5267,323.4480
23,575.5628,468.7671,289.0625,623.4472,572.5552,401.1306,628.1443,546.9447,306.2907,574.6343,467.0705,255.1311,645.4742,540.9108,341.6277
24,575.5628,471.7472,282.1543,623.5290,570.2396,362.9252,630.2002,550.4097,330.6786,577.7835,470.3435,274.4557,645.4742,543.9213,347.9967
25,578.5773,477.5170,294.1401,624.1978,568.8611,351.8177,633.6550,551.1458,359.0706,577.8574,471.2833,283.1487,645.4742,542.1547,315.1836
26,579.0432,479.2986,290.4738,625.2298,573.4104,377.0430,633.9739,552.9289,345.5209,582.5316,474.3255,270.6371,645.4742,548.3402,346.5225
27,583.7525,481.9305,298.2280,625.4258,570.9204,364.5056,636.2502,551.2032,350.7230,582.5316,482.5101,288.3364,645.5286,551.0697,341.6490
28,585.7026,481.8525,293.8493,625.4258,567.0351,353.7783,636.5890,556.2549,362.0411,584.8640,488.4615,298.2201,645.5286,550.2516,353.8968
29,585.7026,488.1159,312.6774,625.4258,564.2922,337.1653,638.0669,563.1679,360.0418,586.3487,486.9239,271.7129,645.5286,553.4279,345.8549
30,586.7971,490.0207,303.2238,626.1943,560.8765,308.1637,639.0358,568.6675,361.6513,586.3487,493.3072,289.2648,646.6472,556.7699,369.3789
