instance,num_nodes,strategy,best,avg,worst,std,improvement_vs_baseline_%,greedy_reference,budget,evaluations_per_run
2obj_0050_01,50,baseline,631.0408,605.3876,579.9877,14.8845,0.00,,10000,10000
2obj_0050_01,50,cost,627.2670,609.3546,587.6476,9.7925,0.66,524.39,10000,10000
2obj_0050_01,50,degree,619.8680,600.0112,581.4536,12.0310,-0.89,337.98,10000,10000
2obj_0050_01,50,dijkstra,623.1331,599.2360,569.5063,16.6294,-1.02,416.38,10000,10000
2obj_0050_01,50,hybrid,623.1521,599.7119,589.7382,11.6181,-0.94,511.15,10000,10000
2obj_0100_01,100,baseline,680.0129,633.0806,578.5590,33.7865,0.00,,10000,10000
2obj_0100_01,100,cost,658.6873,648.9927,628.1807,9.5264,2.51,611.51,10000,10000
2obj_0100_01,100,degree,681.4728,670.0736,644.4890,11.6698,5.84,506.90,10000,10000
2obj_0100_01,100,dijkstra,663.7492,637.7467,606.4016,20.9981,0.74,316.08,10000,10000
2obj_0100_01,100,hybrid,686.6613,678.1307,665.7508,5.0712,7.12,614.35,10000,10000
